Frame,Ball_X,Ball_Y,Ball_Vx,Ball_Vy,Ref_1_X,Ref_1_Y,Ref_2_X,Ref_2_Y,Ref_3_X,Ref_3_Y,GK_X,GK_Y,Player_1_X,Player_1_Y,Player_2_X,Player_2_Y,Player_3_X,Player_3_Y,Player_4_X,Player_4_Y,Player_5_X,Player_5_Y,Player_6_X,Player_6_Y,Player_7_X,Player_7_Y,Player_8_X,Player_8_Y,Player_9_X,Player_9_Y,Player_10_X,Player_10_Y,Player_11_X,Player_11_Y,Player_12_X,Player_12_Y,Player_13_X,Player_13_Y,Player_14_X,Player_14_Y,Player_15_X,Player_15_Y,Player_16_X,Player_16_Y,Player_17_X,Player_17_Y,Player_18_X,Player_18_Y,Player_19_X,Player_19_Y,Player_20_X,Player_20_Y,Player_21_X,Player_21_Y,Player_22_X,Player_22_Y
32,590,168,3,2,0,0,0,0,0,0,0,0,343,508,1711,371,1117,509,938,241,823,590,1161,393,1678,502,1349,827,358,389,297,746,358,427,733,371,769,415,1021,308,986,187,780,280,469,235,1503,272,611,146,815,188,906,198,530,112
33,591,170,1,2,538,114,0,0,0,0,0,0,345,507,1708,372,1117,508,939,243,823,589,1162,394,1676,503,1350,826,361,389,297,743,361,425,735,371,771,414,1025,309,984,190,776,283,472,236,1504,272,615,149,815,190,905,200,533,113
34,592,172,1,2,542,116,0,0,0,0,0,0,347,507,1706,373,1117,508,939,245,823,587,1163,393,1675,503,1349,824,363,389,296,739,365,424,735,371,774,414,1029,310,983,192,774,284,476,238,1503,274,617,152,813,191,907,201,535,114
35,597,176,5,4,546,116,0,0,0,0,0,0,347,505,1706,374,1114,508,939,247,823,584,1165,394,1674,503,1348,823,365,390,295,736,367,423,736,372,776,413,1032,311,981,196,774,284,480,240,1503,275,621,154,811,193,908,201,538,115
36,599,178,2,2,0,0,0,0,0,0,0,0,349,504,1704,375,1114,509,941,247,821,582,1169,394,1673,502,1349,820,366,392,298,733,368,424,738,374,779,413,1035,312,980,196,773,284,482,242,1504,277,625,156,811,196,910,202,540,117
37,599,179,0,1,1910,1031,0,0,0,0,0,0,353,503,1703,376,1115,509,942,249,821,581,1170,395,1672,503,1350,819,367,395,302,729,371,423,738,376,782,414,1040,313,980,197,773,284,484,243,1504,280,628,157,807,198,910,204,543,118
38,602,182,3,3,1909,1033,0,0,0,0,0,0,358,501,1703,377,1116,508,943,250,818,581,1172,396,1673,504,1352,817,369,401,305,724,373,419,737,377,783,414,1045,314,980,198,771,285,486,244,1504,282,631,158,806,200,911,206,554,121
39,605,185,3,3,557,125,0,0,0,0,0,0,363,498,1702,378,1117,507,943,251,814,581,1174,398,1672,505,1352,815,371,400,307,718,376,420,737,377,782,414,1050,315,979,198,769,287,490,245,1502,284,634,160,806,201,910,208,557,122
40,608,188,3,3,0,0,0,0,0,0,0,0,365,495,1703,379,1117,507,944,254,811,580,1177,399,1671,506,1354,814,374,403,306,715,377,417,740,376,785,414,1054,316,978,200,764,288,495,245,1502,286,636,163,805,200,909,210,560,124
41,611,191,3,3,0,0,0,0,0,0,0,0,366,494,1704,380,1117,507,943,255,811,578,1178,400,1670,507,1356,813,368,398,305,713,378,420,743,375,786,413,1059,316,977,202,763,288,500,245,1504,285,635,165,802,201,909,210,565,124
